text,author,display_name,date,likes,quotes,replies,reposts,uri,url,reply_to,reply_to_uri,reply_to_url,query
I think it is reasonable to hate people taking away your rights. Those trying to unalive you and others like you. Those sending people like you to concentration camps.,queerswearwolf.bsky.social,Manda,2025-04-12T13:26:14.273Z,4,0,1,0,at://did:plc:wgo23lb67astg7wi4aoguinw/app.bsky.feed.post/3lmmn3po6zc2r,https://bsky.app/profile/did:plc:wgo23lb67astg7wi4aoguinw/post/3lmmn3po6zc2r,Yes,at://did:plc:pdhyb3mdibeatnwphpz4dpul/app.bsky.feed.post/3lmmhkafayc2a,https://bsky.app/profile/did:plc:pdhyb3mdibeatnwphpz4dpul/post/3lmmhkafayc2a,unalive
"also need yall to also see this banger quote by soren:

gamers don’t say things like unalive, they say things like kill your self",hellohellothere.bsky.social,soul - semi ia bc of uni,2025-04-12T00:31:25.673Z,15,0,2,0,at://did:plc:i22kxwiszdpyy2p2mbznrmyd/app.bsky.feed.post/3lmlbsaoom22g,https://bsky.app/profile/did:plc:i22kxwiszdpyy2p2mbznrmyd/post/3lmlbsaoom22g,No,,,unalive
there was a character called general chungus and he said unalive instead of kill,v4mpyres.bsky.social,helly r pr team,2025-04-10T18:18:29.781Z,7,0,1,0,at://did:plc:6thnj6jxnuenhf4biqez23cm/app.bsky.feed.post/3lmi4ihvvl22c,https://bsky.app/profile/did:plc:6thnj6jxnuenhf4biqez23cm/post/3lmi4ihvvl22c,Yes,at://did:plc:6thnj6jxnuenhf4biqez23cm/app.bsky.feed.post/3lmi4eexxh22c,https://bsky.app/profile/did:plc:6thnj6jxnuenhf4biqez23cm/post/3lmi4eexxh22c,unalive
"Rebel Girl by Bikini Unalive
Mr. Brightside by the Unalivers
Institutionalized by Sewer Slide All Tendencies
C.R.E.A.M feat. Ghostface Unalivah
More Human Than Human by Palm-Colored Zombie
Unhinged Unaliver by The Talking Heads",megelison.bsky.social,Meg Elison,2025-04-08T16:38:20.328Z,15,0,2,3,at://did:plc:clk2kdwzjxdjyshkpbg7dsni/app.bsky.feed.post/3lmcvxjwi422m,https://bsky.app/profile/did:plc:clk2kdwzjxdjyshkpbg7dsni/post/3lmcvxjwi422m,No,,,unalive
"I’m just saying, and I’m not sure why actually, but my mental health is pretty ummmmm fucked at the moment. Really really. I’m not wanting to unalive myself but I also do not have any will to live. None. 
I don’t know if I will be able to take it if I have to say goodbye to my pooch.",fiestywenchyone.bsky.social,Tara (she/her),2025-04-14T11:11:43.728Z,2,0,3,0,at://did:plc:nzy2vmgauilrvt5styib4jw3/app.bsky.feed.post/3lmrgizw7g223,https://bsky.app/profile/did:plc:nzy2vmgauilrvt5styib4jw3/post/3lmrgizw7g223,No,,,unalive
"My newest game, New England Society For Paranormal Research Containment Procedure Field Guide, is exclusive in 2025 to live events! Dates below, subject to change.

Come see me starting next week & pick up this tabletop rpg of researching and containing haunted items and evil incursions.",worldchamp.bsky.social,World Champ Game Co.,2025-04-10T17:06:52.840Z,22,0,4,1,at://did:plc:dlcslxsgcypdteq6sluvip3q/app.bsky.feed.post/3lmhyig25qs2u,https://bsky.app/profile/did:plc:dlcslxsgcypdteq6sluvip3q/post/3lmhyig25qs2u,No,,,unalive
What if the reason they are trying to postpone bringing Kilmar Abrego Garcia back from El Salvador is because he is unalive? He came here in 2011 to flee violent gang members who threatened to kill him to extort his parents. I hope I'm wrong. I don't trust our own government and DOJ to be honest.,jessiedoesky.bsky.social,,2025-04-08T03:39:32.239Z,33,1,2,7,at://did:plc:afxgzydnf6rpclzcglx52nzx/app.bsky.feed.post/3lmbkgwkdpk2b,https://bsky.app/profile/did:plc:afxgzydnf6rpclzcglx52nzx/post/3lmbkgwkdpk2b,No,,,unalive
"Two days before its sixth birthday, my laptop has decided to unalive itself.

Raise a glass for Bunter, third of the name, and for my poor credit card, which is absolutely fucking melting down this month, in what can only be described as _fucking horrible timing_",lauraannegilman.bsky.social,Laura Anne Gilman,2025-04-08T04:45:49.985Z,32,0,3,0,at://did:plc:hkty3tdfs3jkra7hjtlymxi3/app.bsky.feed.post/3lmbo5hzlak2s,https://bsky.app/profile/did:plc:hkty3tdfs3jkra7hjtlymxi3/post/3lmbo5hzlak2s,No,,,unalive
"Just a reminder; any reason you have to not unalive yourself is a good reason. It can be as personal as “I don’t want to hurt my friends,” as powerful as “I refuse to let Trump or McConnell outlive me,” or as small as “I don’t want to waste my convention passes.” It keeps you going. Keep going.",radiofreewill.bsky.social,Radio Free Will,2025-04-09T14:33:24.993Z,6,0,1,0,at://did:plc:wjzmfhdrvb52jc7zn2dzvueu/app.bsky.feed.post/3lmf7h3c2rs2h,https://bsky.app/profile/did:plc:wjzmfhdrvb52jc7zn2dzvueu/post/3lmf7h3c2rs2h,No,,,unalive
"Harry, we really do not know if he is still among the living. The Salvadorans may been instructed to unalive him and all of the others for all we know. Of course they are going to obstruct and deflect.",nolegrad.bsky.social,FNU LNU 🍢 (✊🏻🇺🇸🔥=😡),2025-04-11T23:12:31.277Z,2,0,0,1,at://did:plc:hnf47zrmdsukiv5sgpoutfrb/app.bsky.feed.post/3lml5f5mez22u,https://bsky.app/profile/did:plc:hnf47zrmdsukiv5sgpoutfrb/post/3lml5f5mez22u,Yes,at://did:plc:czjt3ibnudi7s2skpu3geam5/app.bsky.feed.post/3lmixms6iak2l,https://bsky.app/profile/did:plc:czjt3ibnudi7s2skpu3geam5/post/3lmixms6iak2l,unalive
"When 1 of their base wake from their slumber & realize they were played ▶️ 

They were the ones who raided the capital, killed police & wiped feces & urine all over

They also have lots of Pew Pews, so sooner or later, they'll unalive 1 of their representatives & then shits gonna get Real Real Quick",the50yrold420gamer.bsky.social,The50YrOld420Gamer,2025-04-09T22:16:07.463Z,4,0,0,1,at://did:plc:v2jwjbch75mcjjcybi3jswon/app.bsky.feed.post/3lmfzchn44s2u,https://bsky.app/profile/did:plc:v2jwjbch75mcjjcybi3jswon/post/3lmfzchn44s2u,Yes,at://did:plc:uayevtgtbwot25zhocjzb6lv/app.bsky.feed.post/3lmfwa4eu522b,https://bsky.app/profile/did:plc:uayevtgtbwot25zhocjzb6lv/post/3lmfwa4eu522b,unalive
"💯💯💯He has literally hounded people to unalive themselves. I hope they throw the book at him, it would be the very least of what he deserves.",traceytaylor.bsky.social,TraceyT,2025-04-08T20:28:12.460Z,4,0,0,0,at://did:plc:vd4dsdbop6gpaxc5w5wdd36c/app.bsky.feed.post/3lmdcsl4wz226,https://bsky.app/profile/did:plc:vd4dsdbop6gpaxc5w5wdd36c/post/3lmdcsl4wz226,Yes,at://did:plc:tvy7phrgaitgl2xegou2u2ku/app.bsky.feed.post/3lmd7vrsqy22w,https://bsky.app/profile/did:plc:tvy7phrgaitgl2xegou2u2ku/post/3lmd7vrsqy22w,unalive
Saying those words at least is like ripping off a bandaid. “Unalive” is just unnecessarily pealing it off slowly.,4brandonjs4.bsky.social,Brandon Santiago,2025-04-08T05:29:35.249Z,4,0,1,0,at://did:plc:nbcsgvekpjkmyw5l6352l34j/app.bsky.feed.post/3lmbqlpo7o22t,https://bsky.app/profile/did:plc:nbcsgvekpjkmyw5l6352l34j/post/3lmbqlpo7o22t,Yes,at://did:plc:i3b3zi76cwz4wakccusb3lhz/app.bsky.feed.post/3lmbqhxpcws2f,https://bsky.app/profile/did:plc:i3b3zi76cwz4wakccusb3lhz/post/3lmbqhxpcws2f,unalive
It could take them “time” to “facilitate” his return…if he doesn’t unalive from “natural causes” first. I don’t believe they have any intention of TRYING to bring him back…just like they ignored judges orders and let the planes go.,lunchboxconvo.bsky.social,Lunchbox Conversation,2025-04-11T04:00:34.990Z,4,0,1,0,at://did:plc:hw4oe42qozqbl5m4khxl67bu/app.bsky.feed.post/3lmj4zd6pxk22,https://bsky.app/profile/did:plc:hw4oe42qozqbl5m4khxl67bu/post/3lmj4zd6pxk22,Yes,at://did:plc:zipphihu644mxj7qjafvwwun/app.bsky.feed.post/3lmiy7zszac2u,https://bsky.app/profile/did:plc:zipphihu644mxj7qjafvwwun/post/3lmiy7zszac2u,unalive
unalive the princess send tweet,blacktabbygames.com,Black Tabby Games (This is Tony) - Slay the Princess,2025-04-04T15:24:51.447Z,280,1,9,34,at://did:plc:q4vkqvvzhpir3wfkeqfofzgd/app.bsky.feed.post/3llypyhh4as2q,https://bsky.app/profile/did:plc:q4vkqvvzhpir3wfkeqfofzgd/post/3llypyhh4as2q,No,,,unalive
"I have to mention this, that yes the line is ""unalive"" in the #Minecraft movie

But in that unfinished cut that's going around? Some of the lines are different takes. I looked that up to find the ""dungeon stuff"" quote and make sure I had it right.

""Unalive"" isnt in that cut. It was ""Annihilate"".",realseymourcox.bsky.social,SeymourCox,2025-04-07T16:12:13.645Z,5,0,1,0,at://did:plc:6cvjzq4t42ioigkmc2w6luyl/app.bsky.feed.post/3lmadzwedb225,https://bsky.app/profile/did:plc:6cvjzq4t42ioigkmc2w6luyl/post/3lmadzwedb225,Yes,at://did:plc:6cvjzq4t42ioigkmc2w6luyl/app.bsky.feed.post/3lm6uqlic622u,https://bsky.app/profile/did:plc:6cvjzq4t42ioigkmc2w6luyl/post/3lm6uqlic622u,unalive
"Just had to close a video a minute in because the narrator kept censoring the word ""die"" with ""unalive"" and then said ""costed""",vrynn.bsky.social,vrynn,2025-04-06T19:59:33.945Z,27,0,3,0,at://did:plc:igwlazmylluboobdirp2gwwp/app.bsky.feed.post/3lm6abjciq22y,https://bsky.app/profile/did:plc:igwlazmylluboobdirp2gwwp/post/3lm6abjciq22y,No,,,unalive
"They must have you on a higher dose than me because I'm still pissed off at what's going on, I'm just no longer planning to unalive myself for no good reason anytime soon.",thebackwoodsfag.bsky.social,Tell your dad I said hi,2025-04-08T22:44:53.466Z,4,0,1,0,at://did:plc:suwq7r4h3lq2as3zpia6xk65/app.bsky.feed.post/3lmdkgy7tv223,https://bsky.app/profile/did:plc:suwq7r4h3lq2as3zpia6xk65/post/3lmdkgy7tv223,Yes,at://did:plc:rjcqo6bkgdrkneziupjty7xm/app.bsky.feed.post/3lmdjxtrqis2v,https://bsky.app/profile/did:plc:rjcqo6bkgdrkneziupjty7xm/post/3lmdjxtrqis2v,unalive
"Can someone PLEASE unalive Trump and his cronies already? This is clear and obvious fascism and erasure, mirroring 1940s Germany completely.
But now it's suddenly okay because it's the USA doing it?
My opinion may be extreme but it's starting to feel like the only viable option aside from civil war.",kikicakes.bsky.social,Kiki,2025-04-08T22:39:08.511Z,4,0,0,0,at://did:plc:5g7ktgfvxtjlbkzsdkmtgerf/app.bsky.feed.post/3lmdk4paktk2t,https://bsky.app/profile/did:plc:5g7ktgfvxtjlbkzsdkmtgerf/post/3lmdk4paktk2t,Yes,at://did:plc:m65ifh7vn5zdgs7izcmht4gy/app.bsky.feed.post/3lmcx2kh75c2m,https://bsky.app/profile/did:plc:m65ifh7vn5zdgs7izcmht4gy/post/3lmcx2kh75c2m,unalive
"Everyone warns you ""the Minecraft movie has a character named General Chungus and he says unalive""

no one warns you that he has a kinda effeminate voice and that Steve says he and Chungus used to ""get in to some dungeon stuff together"", filling you with a longing to create yaoi of this fat piglin",realseymourcox.bsky.social,SeymourCox,2025-04-07T02:05:54.362Z,127,0,5,28,at://did:plc:6cvjzq4t42ioigkmc2w6luyl/app.bsky.feed.post/3lm6uqlic622u,https://bsky.app/profile/did:plc:6cvjzq4t42ioigkmc2w6luyl/post/3lm6uqlic622u,No,,,unalive
"Saying ""I have to unalive you now"" was a LATE choice in this movie's production, and I hope that one day we all get to truly process how much shit must have been going on amidst this thing having NINE fucking screenwriter credits",realseymourcox.bsky.social,SeymourCox,2025-04-07T16:13:19.419Z,13,0,2,0,at://did:plc:6cvjzq4t42ioigkmc2w6luyl/app.bsky.feed.post/3lmae3v3lok25,https://bsky.app/profile/did:plc:6cvjzq4t42ioigkmc2w6luyl/post/3lmae3v3lok25,Yes,at://did:plc:6cvjzq4t42ioigkmc2w6luyl/app.bsky.feed.post/3lmadzwedb225,https://bsky.app/profile/did:plc:6cvjzq4t42ioigkmc2w6luyl/post/3lmadzwedb225,unalive
"I cannot imagine how bored I would have to be to decide that I want to be mad at asexual people.

“Hey, Brynnleigh, it’sTampa! I just heard that Kourtlynne harbors no sexual intentions for Carnegie Mellon!” 

“OMG that bytch! GURL we so gotta tell Berkeley and Bristol so we can totes unalive her!”",bvlikeslinguica.bsky.social,AFairlySaneBenjamin,2025-04-06T18:51:12.405Z,20,0,1,0,at://did:plc:hlj2gccffqggm4wa32lvqacm/app.bsky.feed.post/3lm64hbrgl22j,https://bsky.app/profile/did:plc:hlj2gccffqggm4wa32lvqacm/post/3lm64hbrgl22j,Yes,at://did:plc:4ltsypfv32qohdmrehmmilzq/app.bsky.feed.post/3lm62v35c3s2k,https://bsky.app/profile/did:plc:4ltsypfv32qohdmrehmmilzq/post/3lm62v35c3s2k,unalive
If I hear don't stop believing or hot blooded one more fucking time I'm gonna unalive in Minecraft,deedeefifty.bsky.social,DeeDeeFifty,2025-04-08T13:05:19.178Z,3,0,0,0,at://did:plc:aupog3a4zv7yao3vqszgxlhn/app.bsky.feed.post/3lmck2mupdc2u,https://bsky.app/profile/did:plc:aupog3a4zv7yao3vqszgxlhn/post/3lmck2mupdc2u,Yes,at://did:plc:aupog3a4zv7yao3vqszgxlhn/app.bsky.feed.post/3lmcjzpskok2u,https://bsky.app/profile/did:plc:aupog3a4zv7yao3vqszgxlhn/post/3lmcjzpskok2u,unalive
"This is being done on purpose. This is NOT a mistake.
This is just another way this regime wants to unalive people.",lily77.bsky.social,Lily is a Harris voter,2025-04-08T18:32:21.509Z,3,0,0,0,at://did:plc:fa4sqqfpxtph72bsadmoet7l/app.bsky.feed.post/3lmd4dg6px227,https://bsky.app/profile/did:plc:fa4sqqfpxtph72bsadmoet7l/post/3lmd4dg6px227,No,,,unalive
估計Tankie們會反駁：我們在西方社交媒體平台上也要打”unalive”，不是跟中國網路上的言論審查差不多嗎🤪,y-wenli.bsky.social,你法我笑的Dictator Yang📄🏳️‍🌈🌻🍉🐚 #pray4jade,2025-04-06T12:34:19.973Z,9,0,0,0,at://did:plc:drrr6ze2djslmfocuwdlnipz/app.bsky.feed.post/3lm5hfeutfk2r,https://bsky.app/profile/did:plc:drrr6ze2djslmfocuwdlnipz/post/3lm5hfeutfk2r,No,,,unalive
I think he’s also trying to unalive as many of us as he can by embracing RFK and “Dr.” Oz and their quacky “medicine.”,dwonnanaomi.bsky.social,Goldie,2025-04-08T21:16:07.102Z,7,0,0,0,at://did:plc:llhbaexu6rmtyrimrd3hbosr/app.bsky.feed.post/3lmdfiam2lk2l,https://bsky.app/profile/did:plc:llhbaexu6rmtyrimrd3hbosr/post/3lmdfiam2lk2l,Yes,at://did:plc:lketznefk3fy6cfcn33r5vr3/app.bsky.feed.post/3lmdfg47hgk2b,https://bsky.app/profile/did:plc:lketznefk3fy6cfcn33r5vr3/post/3lmdfg47hgk2b,unalive
Gonna have to put bleeps in my podcast but I’d rather do that than say stupid shit like “unalive” or “pew pew”,alicehamilton.bsky.social,Alice Hamilton,2025-04-05T15:14:41.803Z,35,2,1,1,at://did:plc:fzqfm7h7a2b3a5ok53qz3yya/app.bsky.feed.post/3lm37v7ixsk2z,https://bsky.app/profile/did:plc:fzqfm7h7a2b3a5ok53qz3yya/post/3lm37v7ixsk2z,No,,,unalive
"There’s an enemy piglet general who talks like a surfer bro, literally named Chungus, who tells Jack Black he’s going to “unalive him” when the pigs invade the village.",maddiebiscuits.bsky.social,🐰 MADDIEBISCUITS 🐰,2025-04-07T04:01:44.643Z,11,0,2,0,at://did:plc:bws6cr4s2nnfb6bi2mk4pa7n/app.bsky.feed.post/3lm737prehs2t,https://bsky.app/profile/did:plc:bws6cr4s2nnfb6bi2mk4pa7n/post/3lm737prehs2t,Yes,at://did:plc:bws6cr4s2nnfb6bi2mk4pa7n/app.bsky.feed.post/3lm734xf3lk2t,https://bsky.app/profile/did:plc:bws6cr4s2nnfb6bi2mk4pa7n/post/3lm734xf3lk2t,unalive
You touch my grandchildren and I will unalive your ass myself,babynation.bsky.social,,2025-04-08T00:16:00.809Z,2,0,0,0,at://did:plc:n3453rf4e4lrotvfofs5dmwl/app.bsky.feed.post/3lmb72yt43c2k,https://bsky.app/profile/did:plc:n3453rf4e4lrotvfofs5dmwl/post/3lmb72yt43c2k,Yes,at://did:plc:mnq3zflqpylic7ci5aswomtw/app.bsky.feed.post/3lmawcjegws26,https://bsky.app/profile/did:plc:mnq3zflqpylic7ci5aswomtw/post/3lmawcjegws26,unalive
"Same situation with the ""unalive"" shit. Why can't we just say kill, murder, or suicide like normal people?",longtallandugly.bsky.social,Anime guy from Malcolm in the Middle,2025-04-08T05:27:29.453Z,7,0,1,0,at://did:plc:i3b3zi76cwz4wakccusb3lhz/app.bsky.feed.post/3lmbqhxpcws2f,https://bsky.app/profile/did:plc:i3b3zi76cwz4wakccusb3lhz/post/3lmbqhxpcws2f,Yes,at://did:plc:nbcsgvekpjkmyw5l6352l34j/app.bsky.feed.post/3lmbq2ct6ok2t,https://bsky.app/profile/did:plc:nbcsgvekpjkmyw5l6352l34j/post/3lmbq2ct6ok2t,unalive
"on a ""movies are over"" downer note, we took the kiddo to see ""minecraft"" and i wanted to unalive myself. and i saw it with an audience where there were MULTIPLE applause breaks, which were arcane to the point of questioning my own sanity",nicemustard.bsky.social,david lunch,2025-04-07T03:31:00.235Z,8,0,0,0,at://did:plc:ktv5ma4t347coki36kfjoxsl/app.bsky.feed.post/3lm6ziqsirs2s,https://bsky.app/profile/did:plc:ktv5ma4t347coki36kfjoxsl/post/3lm6ziqsirs2s,No,,,unalive
"I’m really sorry, but I have to unalive you and stuff…",asterbun.bsky.social,Aster,2025-04-07T17:01:53.415Z,2,0,1,0,at://did:plc:ecmtg7qhkfhtmwtbrwf73o66/app.bsky.feed.post/3lmagsq3pus2k,https://bsky.app/profile/did:plc:ecmtg7qhkfhtmwtbrwf73o66/post/3lmagsq3pus2k,Yes,at://did:plc:ecmtg7qhkfhtmwtbrwf73o66/app.bsky.feed.post/3lmagal5vu223,https://bsky.app/profile/did:plc:ecmtg7qhkfhtmwtbrwf73o66/post/3lmagal5vu223,unalive
"Learning there is a character in the minecraft movie named General Chungus and he tells his troops to ""unalive them""",docvivileandra.bsky.social,Doc Vivi Leandra - Real-Life Scientist VTuber 🧬🖥️,2025-04-05T13:19:11.587Z,12,0,3,0,at://did:plc:wbrnpfl7uqepxav4cuvvqzto/app.bsky.feed.post/3lm2zgolnhy2n,https://bsky.app/profile/did:plc:wbrnpfl7uqepxav4cuvvqzto/post/3lm2zgolnhy2n,No,,,unalive
This video has been muted on TikTok - I guess because it contains the words “Adolf Hitler”. I thought talk of TikTok censorship was exaggerated- turns out maybe not! Although I refuse ever to use the words “unalive” or “Yahtzee”,mattgreencomedy.com,Matt Green,2025-04-04T23:50:19.999Z,86,0,3,14,at://did:plc:tyr4zwweo3w7yk6cibw6acgo/app.bsky.feed.post/3llzmacz2ss2p,https://bsky.app/profile/did:plc:tyr4zwweo3w7yk6cibw6acgo/post/3llzmacz2ss2p,No,,,unalive
"I don't think it's okay to tell someone to unalive themselves. However, telling someone that they will suffer the consequences of their own actions, and the harm they have visited upon the world will be returned threefold? That's just factual.",futterish.bsky.social,Mike Futter,2025-04-06T17:37:22.058Z,11,0,0,1,at://did:plc:qb7dh65b3hv4ug5rsgdito45/app.bsky.feed.post/3lm5ydanxtc26,https://bsky.app/profile/did:plc:qb7dh65b3hv4ug5rsgdito45/post/3lm5ydanxtc26,No,,,unalive
"The way they saved the man and his child from the desert, only to say they have to be a part of the religion

Then yrs later tell him he needs to have his daughter married at once, and how he is shunned for not having multiple wives

Then they unalive him for trying to run away to save his daughter",mellysketches.bsky.social,🌸Melly🌸,2025-04-08T20:39:44.012Z,4,0,0,0,at://did:plc:g7ll2dack7yxiaclvrqsausw/app.bsky.feed.post/3lmddh6ngr22f,https://bsky.app/profile/did:plc:g7ll2dack7yxiaclvrqsausw/post/3lmddh6ngr22f,Yes,at://did:plc:g7ll2dack7yxiaclvrqsausw/app.bsky.feed.post/3lmdd7vpfhk2f,https://bsky.app/profile/did:plc:g7ll2dack7yxiaclvrqsausw/post/3lmdd7vpfhk2f,unalive
"i didn't really hate any of the characters and some of the jokes were pretty alright
except general chungus i hated him
i sunk into my chair when he said unalive",chromadeline.newgrounds.com,Chromadeline [Comms Open],2025-04-06T20:38:44.933Z,5,0,1,0,at://did:plc:7isq5iakmhglvyhcpifhuacd/app.bsky.feed.post/3lm6chlf2es2l,https://bsky.app/profile/did:plc:7isq5iakmhglvyhcpifhuacd/post/3lm6chlf2es2l,Yes,at://did:plc:7isq5iakmhglvyhcpifhuacd/app.bsky.feed.post/3lm6chlezfk2l,https://bsky.app/profile/did:plc:7isq5iakmhglvyhcpifhuacd/post/3lm6chlezfk2l,unalive
They can’t bring him back to the US. Because he is unalive. And they know it. And it happened immediately. So they’re trying to squirm out of it.,andrebukowski.bsky.social,Andre Bukowski,2025-04-06T06:46:16.792Z,3,0,1,0,at://did:plc:7ixxhlsstcoexxxm4ccwwwn2/app.bsky.feed.post/3lm4twz4oy22d,https://bsky.app/profile/did:plc:7ixxhlsstcoexxxm4ccwwwn2/post/3lm4twz4oy22d,Yes,at://did:plc:twasya42lpacrrncfhcrbjyv/app.bsky.feed.post/3lm347revk225,https://bsky.app/profile/did:plc:twasya42lpacrrncfhcrbjyv/post/3lm347revk225,unalive
"Trump’s trying to unalive the poor, so all that’s left is the rich and silver-spoon mindless drones. Elon has plenty of experience in the mindless department so he is a important key factor to braindead leadership.",darksagesf.bsky.social,Sage R Fury Author📚,2025-04-06T13:58:43.374Z,4,0,0,0,at://did:plc:pnowmzzao5h3zstfabdix5c7/app.bsky.feed.post/3lm5m4bpiyc2m,https://bsky.app/profile/did:plc:pnowmzzao5h3zstfabdix5c7/post/3lm5m4bpiyc2m,Yes,at://did:plc:qxwx3yb4m3dmjbu5luyyi7zm/app.bsky.feed.post/3lm5ce2uc4s2j,https://bsky.app/profile/did:plc:qxwx3yb4m3dmjbu5luyyi7zm/post/3lm5ce2uc4s2j,unalive
"happy 30th anniversary to #GundamWing!!! 🪽🦇🎭🎻🐲🧸 here's an edit to make us all glad that #gundamw was 30 years ago and not 3 years ago

#ガンダムW30周年",seaofolives.bsky.social,liv/seaofolives 🫒,2025-04-07T03:02:29.776Z,9,1,2,3,at://did:plc:s6ceoi3fzu4lxbptxol47u4j/app.bsky.feed.post/3lm6xvrljls22,https://bsky.app/profile/did:plc:s6ceoi3fzu4lxbptxol47u4j/post/3lm6xvrljls22,No,,,unalive
"actual thoughts: funnier than i expected, made me laugh in a good couple of parts. however, having a character named general chungus say the word ""unalive"" is a cardinal sin no matter how tongue in cheek it was",glotch.net,glotch,2025-04-06T03:02:25.443Z,7,0,0,0,at://did:plc:h64svmmlhxovcobjv65qihd2/app.bsky.feed.post/3lm4hgpyh7s2q,https://bsky.app/profile/did:plc:h64svmmlhxovcobjv65qihd2/post/3lm4hgpyh7s2q,Yes,at://did:plc:h64svmmlhxovcobjv65qihd2/app.bsky.feed.post/3lm4gswig5c2q,https://bsky.app/profile/did:plc:h64svmmlhxovcobjv65qihd2/post/3lm4gswig5c2q,unalive
"hearing ""unalive"" in the minecraft movie was an out of body experience does this mean thats now an actual word????",plumarroja.bsky.social,PLUMARROJA 🇵🇸,2025-04-05T16:32:42.105Z,4,0,1,0,at://did:plc:egg7ei6hfh7qmjvkxmxgkml3/app.bsky.feed.post/3lm3eaoyha223,https://bsky.app/profile/did:plc:egg7ei6hfh7qmjvkxmxgkml3/post/3lm3eaoyha223,No,,,unalive
"The Authenticity Drought

The types of people that proudly call themselves ""influencers,"" and describe what they create merely as ""content,"" are so profoundly allergic to authenticity that it bewilders the mind. Don't believe me? Look no further than the usage of ""unalive"" in the modern lexicon.…",soatok.bsky.social,Soatok,2025-04-04T00:23:33Z,154,5,9,61,at://did:plc:qfqibtrg2k7r2p345p4pbgpi/app.bsky.feed.post/3llx5mtpxjv24,https://bsky.app/profile/did:plc:qfqibtrg2k7r2p345p4pbgpi/post/3llx5mtpxjv24,No,,,unalive
I hate Mondays! Always have and always will. I had the weirdest dream today. Someone is fucking up my future. That's obvious. But I didn't understand why I went to a dinner where everyone got poisoned. I was also in New Hampshire. That would be my sister Angie. She's trying to unalive some people,gogoissey.bsky.social,,2025-04-07T12:47:01.807Z,2,0,0,0,at://did:plc:swk4egibvainatb4ozmqf733/app.bsky.feed.post/3lm7ykyuvw22g,https://bsky.app/profile/did:plc:swk4egibvainatb4ozmqf733/post/3lm7ykyuvw22g,No,,,unalive
"a character named chungus just said the word ""unalive""",fritzadood.bsky.social,Fritzadood,2025-04-05T02:03:35.757Z,3,1,1,0,at://did:plc:wf6xjgb2ztjxb3hepct3wiwm/app.bsky.feed.post/3llztome7b22b,https://bsky.app/profile/did:plc:wf6xjgb2ztjxb3hepct3wiwm/post/3llztome7b22b,No,,,unalive
"Assisti o filme do Minecraft.

Tem uma cena que um dos vilões diz:
""I'm gonna UNALIVE you""",perobense.bsky.social,Perobense,2025-04-04T02:58:38.927Z,13,0,1,0,at://did:plc:3ihcqgn3bixfjzu42uyil4pz/app.bsky.feed.post/3llxgc5277k2i,https://bsky.app/profile/did:plc:3ihcqgn3bixfjzu42uyil4pz/post/3llxgc5277k2i,No,,,unalive
